-450.714,648.003,-26.1766
218,-1.92144,8.84218,-0.809079
219,-29.5359,140.283,3.62995
220,-9.63681,83.6655,1.1443
221,-2.82144,8.91144,-0.608799
223,-10.3006,36.3851,1.16186
224,-22.486,140.428,2.77925
225,-3.29143,8.92117,-0.55871
228,-3.31143,8.99073,-0.358556
229,-4.62044,34.962,-1.14205
230,-7.69827,32.8788,9.0739
231,-11.0253,49.2697,-1.0601
233,-10.1809,36.4789,-0.567957
234,-8.40544,49.4512,-1.34008
237,-27.9044,134.511,0.29719
238,-5.99548,49.9302,-0.469387
239,-2.31145,8.7327,-1.10926
240,-10.1708,36.4671,0.282018
241,-22.0165,140.535,-0.510595
242,-2.78144,8.78219,-0.949086
243,-1.89144,8.84219,-0.809083
244,-29.0459,140.294,3.6299
245,-9.34677,83.5356,1.14398
247,-10.1706,36.4452,1.16197
248,-22.0161,140.498,2.77933
249,-3.25143,8.91121,-0.568737
252,-3.28143,9.00074,-0.358538
253,-4.50045,34.9721,-1.14204
254,-7.44805,32.1494,8.86228
255,-10.8754,49.3498,-1.05995
257,-13.4356,50.1683,-0.787802
258,-8.20539,49.3113,-1.34041
261,-27.6147,135.591,0.299491
262,-5.81548,49.9402,-0.469391
263,-2.72148,8.73312,-1.3692
264,-2.28145,8.73271,-1.10927
265,-28.2359,109.93,0.88393
266,-21.5065,140.505,-0.510733
267,-2.73143,8.76219,-0.939136
268,-1.86144,8.8422,-0.809087
269,-28.5559,140.364,3.61998
270,-9.0166,83.0457,1.14287
272,-27.6847,107.704,3.45903
273,-21.5161,140.538,2.77935
274,-3.23145,8.96121,-0.568632
276,-2.8716,9.47103,-0.427577
278,-3.24143,9.00073,-0.348544
279,-4.37043,34.9121,-1.14219
280,-7.26796,31.8496,8.77161
281,-10.7755,49.7598,-1.06907
283,-13.2756,50.2983,-0.787543
284,-8.02537,49.2613,-1.33055
287,-27.0947,135.371,0.298939
288,-5.65555,50.1303,-0.469002
289,-2.70148,8.71311,-1.35925
290,-2.25144,8.7227,-1.09929
291,-28.0862,111.03,0.896295
292,-21.0065,140.525,-0.510761
293,-2.70144,8.7722,-0.939119
294,-1.83144,8.85221,-0.80907
295,-28.0459,140.374,3.61993
296,-8.69653,82.8358,1.13237
297,-4.73509,19.2824,-1.32603
299,-27.2948,107.804,3.45919
300,-21.0161,140.518,2.76923
